station_nm,site,dec_lat_va,dec_long_va,alt_va,drain_area_va
SHASTA R NR YREKA CA,yreka,41.82288,-122.5955565,2036.93,793
MCCLOUD R AB SHASTA LK CA,mccld,40.9582079,-122.2197275,1100,604
SACRAMENTO R A DELTA CA,shasta,40.93959397,-122.4172351,1077.96,425
NF BATTLE C BL N BATTLE C DAM NR MANZANITA LAKE CA,manzanita,40.6026578,-121.6558194,5538.05792,6.4
CLEAR C NR IGO CA,clear,40.51320587,-122.5241795,675.79,228
NF BATTLE C BL DIV TO AL SMITH CN NR MANTON CA,smith,40.51265708,-121.7899893,3800,72.6
NF BATTLE C BL DIV TO XCOUNTRY CN NR MANTON CA,xcountry,40.4543234,-121.8608237,2211.28616,133
NF BATTLE C BL DIV TO WILDCAT CN NR MANTON CA,wildcat,40.42043388,-121.9611038,1138.45148,188
BATTLE C BL COLEMAN FISH HATCHERY NR COTTONWOOD CA,colem,40.39820996,-122.1463869,410.52,357
SF BATTLE C BL DIV TO INSKIP CN NR MANTON CA,inskip,40.39515696,-121.883601,1433.72708,88.3
SACRAMENTO R AB BEND BRIDGE NR RED BLUFF CA,rbdd,40.2884596,-122.1866312,288.18,8900
MILL C NR LOS MOLINOS CA,mill,40.0546022,-122.0241541,384.25,131
DEER C NR VINA CA,deer,40.0140214,-121.9482872,482.02,208
BUTTE C BL FKS OF BUTTE DIV DAM NR DE SABLA CA,butte_forks,39.90127187,-121.6244194,1900,96.4
BUTTE C NR CHICO CA,butte,39.72599524,-121.7088643,321.34,147
SF FEATHER R BL LITTLE GRASS VALLEY DAM CA,grass,39.72378055,-121.0221775,4852.36236,25.9
SF FEATHER R BL DIV DAM NR STRAWBERRY VALLEY CA,strawb,39.6473898,-121.1188467,3500.65628,37.7
SF FEATHER R BL FORBESTOWN DAM CA,forbes,39.5512773,-121.2094046,1797.90032,87.5
FEATHER R A OROVILLE CA,orov,39.52155294,-121.5477477,160.76116,3624
SACRAMENTO R A COLUSA CA,colusa,39.21403369,-122.0002208,39.37008,12090
YUBA R NR MARYSVILLE CA,marysv,39.1757251,-121.5249647,0.76,1339
SACRAMENTO R A VERONA CA,verona,38.77432258,-121.5982593,-0.9,21251
PUTAH C NR WINTERS CA,putah_n,38.5151562,-122.0818793,164.12,574
PUTAH SOUTH CN NR WINTERS CA,putah_s,38.4926849,-122.0030248,141.07612,NA
SACRAMENTO R A FREEPORT CA,freep,38.45566389,-121.5016167,13.12336,NA
TUOLUMNE R NR HETCH HETCHY CA,hetchy,37.93740877,-119.7982,3452.21,457
TUOLUMNE R A GRAND CYN OF TUOLUMNE AB HETCH HETCHY,grand_cyn,37.91657698,-119.6598627,3813.65,301
TUOLUMNE R AB EARLY INTAKE NR MATHER CA,mather,37.87935307,-119.947092,2405.47,484
MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA,happy_isles,37.73130354,-119.5590243,4020.46,181
MERCED R A POHONO BRIDGE NR YOSEMITE CA,pahono,37.71627778,-119.6656667,3864.88,321
MERCED R BL MERCED FALLS DAM NR SNELL CA,merced,37.5216029,-120.3324114,324.80316,1061
